Bone,Head,Tail
spine,,
spine.001,,
spine.002,,
spine.003,,
spine.004,,
spine.005,,
spine.006,,
shoulder.L,,
upper_arm.L,,
forearm.L,,
hand.L,,
palm.01.L,,
f_index.01.L,,
f_index.02.L,,
f_index.03.L,,
thumb.01.L,,
thumb.02.L,,
thumb.03.L,,
palm.02.L,,
f_middle.01.L,,
f_middle.02.L,,
f_middle.03.L,,
palm.03.L,,
f_ring.01.L,,
f_ring.02.L,,
f_ring.03.L,,
palm.04.L,,
f_pinky.01.L,,
f_pinky.02.L,,
f_pinky.03.L,,
shoulder.R,,
upper_arm.R,,
forearm.R,,
hand.R,,
palm.01.R,,
f_index.01.R,,
f_index.02.R,,
f_index.03.R,,
thumb.01.R,,
thumb.02.R,,
thumb.03.R,,
palm.02.R,,
f_middle.01.R,,
f_middle.02.R,,
f_middle.03.R,,
palm.03.R,,
f_ring.01.R,,
f_ring.02.R,,
f_ring.03.R,,
palm.04.R,,
f_pinky.01.R,,
f_pinky.02.R,,
f_pinky.03.R,,
breast.L,,
breast.R,,
pelvis.L,,
pelvis.R,,
thigh.L,,
shin.L,,
foot.L,,
toe.L,,
heel.02.L,,
thigh.R,,
shin.R,,
foot.R,,
toe.R,,
heel.02.R,,
